val_strategy,mastery_val_strategy,time_sec,objective,status,conflicts,branches
SELECT_MIN_VALUE,,541.7845026,1833.0,OPTIMAL,321966,570520
SELECT_MAX_VALUE,,18.4747983,1833.0,OPTIMAL,3438,23131
SELECT_MAX_VALUE,SELECT_MIN_VALUE,22.1482119,1833.0,OPTIMAL,5039,14270
SELECT_MIN_VALUE,SELECT_MIN_VALUE,461.6497893,1833.0,OPTIMAL,321193,568747
SELECT_MAX_VALUE,SELECT_MAX_VALUE,20.5579325,1833.0,OPTIMAL,4983,18896
SELECT_MIN_VALUE,SELECT_MAX_VALUE,51.1789557,1833.0,OPTIMAL,27482,60580
