val_strategy,mastery_val_strategy,time_sec,objective,status,conflicts,branches
SELECT_MIN_VALUE,,245.51989078521729,76.0,OPTIMAL,42058,77901
SELECT_MAX_VALUE,,232.3695511817932,76.0,OPTIMAL,82062,146692
SELECT_MAX_VALUE,SELECT_MIN_VALUE,208.21931791305542,76.0,OPTIMAL,14012,30900
SELECT_MIN_VALUE,SELECT_MIN_VALUE,85.71188998222351,76.0,OPTIMAL,24472,47984
SELECT_MAX_VALUE,SELECT_MAX_VALUE,172.05660223960876,76.0,OPTIMAL,88295,147200
SELECT_MIN_VALUE,SELECT_MAX_VALUE,90.51391887664795,76.0,OPTIMAL,25881,48598
