val_strategy,mastery_val_strategy,time_sec,objective,status,conflicts,branches
SELECT_MIN_VALUE,,600.1635028000001,4063.0,FEASIBLE,128077,220423
SELECT_MAX_VALUE,,600.1233664,4122.0,FEASIBLE,88949,116950
SELECT_MAX_VALUE,SELECT_MIN_VALUE,600.6886858,4089.0,FEASIBLE,54517,70872
SELECT_MIN_VALUE,SELECT_MIN_VALUE,600.1829204000001,4075.0,FEASIBLE,152652,270407
SELECT_MAX_VALUE,SELECT_MAX_VALUE,600.1271263,4069.0,FEASIBLE,52613,65750
SELECT_MIN_VALUE,SELECT_MAX_VALUE,600.1907612,4077.0,FEASIBLE,132985,232952
